model,algorithm,error_code,TpbSgCyclesSum,Tensorizer (sec),Layout (sec),BackendDriver (sec),production_total (sec),maxrss (gb),subgraphs,HLO instr.,Layout instr.,Tiling instr.,Backend instr.,num_operators,num_edges,Layout operator cost,Layout transpose cost,Layout (operator+transpose+IO) cost,Layout DMA cost,num_layout_transposes,estimated_non_local_tensors,num_pf_transposes,num_nonlocal_tensors,num_io_transposes
test_paligemma_3b_mix_224_bs_1_seq_2048_context_encoding_model_MODULE_90bb44b8e0210c28fd70_67de28bc_my,greedy,0,11054029811,6,0,14,21,0.8,12,39,5429097,70818,154689,46,34,9549062,6740422,16289484,0,41,0,3,0,18
test_Qwen3_VL_8B_Thinking_bs_1_seq_2048_token_generation_model_MODULE_faa917fbe86b157f3c17_899a1408_my,greedy,0,11103548418,12,4,20,33,0.9,1,590,10925083,92202,184688,133,190,13887074,31388,13918462,0,36,0,32,0,4
test_Qwen3_VL_8B_Thinking_bs_1_seq_2048_token_generation_model_MODULE_353c1b2743794c93ecb9_c15bdd80_my,greedy,0,11104004119,11,4,20,33,0.9,1,590,10925083,92202,184688,133,190,13887074,31388,13918462,0,36,0,32,0,4
test_granite_3_1_3b_a800m_instruct_bs_1_seq_2048_context_encoding_model_MODULE_fbfb78b55ea054aef805_1ccc47dd_my,greedy,0,11640434747,4,0,5,11,0.5,12,139,1168188,12337,73551,90,65,3695798,1166790,4862588,0,41,0,3,0,21
test_granite_3_1_3b_a800m_instruct_bs_1_seq_2048_context_encoding_model_MODULE_0660a9af043aa802f6fa_d08287f9_my,greedy,0,11648676657,5,0,5,11,0.5,12,139,1168188,12337,73551,90,65,3695798,1166790,4862588,0,41,0,3,0,21
test_kosmos_2_patch14_224_bs_1_seq_2048_context_encoding_model_MODULE_33802bd3dd0763be2ca4_ef3362a2_my,greedy,0,12221655542,6,0,4,11,0.3,3,103,2410140,26299,54363,46,76,3668386,1750490,5418876,0,31,0,17,0,5
test_FlexOlmo_7x7B_1T_bs_1_seq_2048_token_generation_model_MODULE_5cca1c1d9203d88de7fe_226b6d48_my,greedy,0,13903213247,5,1,30,36,1.4,1,380,13784824,69699,178967,95,108,9446680,49574,9496254,0,27,0,14,0,7
test_Llama_4_Scout_17B_16E_Instruct_bs_1_seq_2048_token_generation_model_MODULE_de20dd89898aee9b0880_5d041e77_my,greedy,0,14285671061,12,2,54,67,2.1,1,399,16953181,172148,379604,89,120,16826736,15694,16842430,0,18,0,16,0,3
test_kosmos_2_5_bs_1_seq_2048_context_encoding_model_MODULE_46b85e82ee8ac8fd8a46_aa185f83_my,greedy,0,17312038799,6,0,5,12,0.4,3,102,2125983,26410,106340,42,72,5459457,3606119,9065576,0,31,0,17,0,5
test_idefics_9b_instruct_bs_1_seq_2048_context_encoding_model_MODULE_c4d21a18722498f1073a_8195bb5b_my,greedy,0,18157784298,2,0,2,5,0.4,12,42,3557149,17289,50832,48,34,4968421,987682,5956103,0,42,0,3,0,21
test_idefics_9b_instruct_bs_1_seq_2048_context_encoding_model_MODULE_851642d793b5dd3ac6e1_f797af22_my,greedy,0,18159986379,2,0,2,5,0.4,12,42,3557149,17289,50832,48,34,4968421,987682,5956103,0,42,0,3,0,21
test_idefics_9b_instruct_bs_1_seq_2048_context_encoding_model_MODULE_32e068b253bd266cb1e0_ba0dd372_my,greedy,0,18161956324,2,0,2,6,0.4,12,42,3557149,17289,50832,48,34,4968421,987682,5956103,0,42,0,3,0,21
test_bert_base_uncased_type_auto_bs_8_seq_384_MODULE_4105355656076190947_plus_e30acd3a_my,greedy,0,18570184306,13,0,13,28,0.9,3,132,18409112,59051,132347,106,191,21675069,2024732,23699801,0,161,0,41,0,44
test_OLMo_2_1124_7B_bs_1_seq_2048_context_encoding_model_MODULE_b1ae2e7373b6f90bb499_fa07a7ae_my,greedy,0,20346520595,2,0,6,9,0.6,15,49,6566788,40959,104360,54,46,8980403,980636,9961039,0,39,0,3,0,22
test_resnet50_bs_16_MODULE_18211355964132859055_plus_080aa230_my,greedy,0,22208270374,41,1,29,72,2.2,1,1717,28008679,36362,132526,281,461,19748708,2716540,22465248,0,141,0,3,0,54
test_google_electra_large_discriminator_type_auto_bs_2_seq_512_MODULE_14975106339664645707_plus_e30acd3a_my,greedy,0,23134858421,22,0,15,38,0.8,3,132,18482678,58445,132384,190,347,25642584,4570774,30213358,0,293,0,77,0,80
test_musicgen_melody_bs_1_seq_2048_context_encoding_model_MODULE_5abcf46cdaab241254d6_da39bad3_my,greedy,0,27098107486,28,0,1,30,0.1,3,80,752466,4703,10994,36,58,1057556,64638,1122194,704270,20,0,11,0,2
test_bert_large_uncased_type_auto_bs_4_seq_384_MODULE_10369848347162771062_plus_e30acd3a_my,greedy,0,28688734356,20,1,22,43,1.3,3,480,27891314,106307,236860,218,399,35982151,5445590,41427741,0,337,0,89,0,92
test_Qwen3_VL_8B_Thinking_bs_1_seq_2048_token_generation_model_MODULE_0c5714630059b57a8f24_e5bb152a_my,greedy,0,30866021870,105,23,62,168,2.6,1,5237,29768260,263028,534226,1312,1702,40155662,469196,40624858,0,476,0,294,0,110
test_Qwen3_VL_8B_Thinking_bs_1_seq_2048_token_generation_model_MODULE_cc5bee7ecbc4de0fb6ec_31986bfa_my,greedy,0,30876163726,106,24,62,169,2.6,1,5237,29768260,263028,534226,1312,1702,40155662,469196,40624858,0,476,0,294,0,110
test_unet_B4_MODULE_8524853651227224637_plus_080aa230_my,greedy,0,43819228264,28,1,51,81,1.6,1,635,42202622,53562,222276,128,194,24440885,706650,25147535,0,39,0,0,0,17
test_albert_large_v2_type_auto_bs_4_seq_512_MODULE_6199784313081317653_plus_e30acd3a_my,greedy,0,44817688039,16,0,20,37,1.4,3,211,31469587,72246,177011,150,271,41970692,3963530,45934222,0,228,0,58,0,21
test_idefics_9b_instruct_bs_1_seq_2048_token_generation_model_MODULE_707f274f9d6ec9187dd7_39b7098c_my,greedy,0,49439972320,74,13,61,137,2.6,1,4055,26664483,262926,498282,1099,1379,37488583,2615102,40103685,0,452,0,256,0,98
test_OLMo_7B_Instruct_bs_1_seq_2048_token_generation_model_MODULE_c56aa7fba21decdc623e_fc137309_my,greedy,0,49741938111,97,18,63,161,2.7,1,4037,27334413,271704,519776,1161,1697,37467187,2646604,40113791,0,514,0,319,0,99
test_OLMo_7B_Instruct_bs_1_seq_2048_token_generation_model_MODULE_463626bb5b2812fe40b4_6859588a_my,greedy,0,49746178707,77,13,63,141,2.7,1,4037,27334029,271704,519776,1161,1697,37466848,2646604,40113452,0,514,0,319,0,99
test_OLMo_2_1124_7B_bs_1_seq_2048_token_generation_model_MODULE_627c886c5b983c4232d7_577258bb_my,greedy,0,50830158219,74,15,62,137,2.7,1,4228,27203943,264892,505719,1097,1438,36966159,686552,37652711,0,357,0,192,0,97
test_OLMo_7B_Instruct_bs_1_seq_2048_context_encoding_model_MODULE_18d12557843a8deb3eaa_338523d7_my,greedy,0,56476453699,33,0,3,37,0.3,3,83,3073853,24103,54286,66,77,4552484,1963434,6515918,3506792,23,0,9,0,3
test_OLMo_7B_Instruct_bs_1_seq_2048_context_encoding_model_MODULE_be0fd6bbd757591c35a3_54388b7d_my,greedy,0,56480795720,33,0,3,37,0.3,3,83,3073853,24103,54286,66,77,4552484,1963434,6515918,3506792,23,0,9,0,3
test_OLMo_7B_Instruct_bs_1_seq_2048_token_generation_model_MODULE_a263879d77ed8fecc93e_3f065e05_my,greedy,0,60264695722,74,13,101,176,4.0,1,4037,43850436,399864,783003,1161,1697,56760750,715080,57475830,0,417,0,255,0,98
test_OLMo_7B_Instruct_bs_1_seq_2048_token_generation_model_MODULE_66e75388da7697cded69_7dd97333_my,greedy,0,60289758590,74,13,101,176,4.0,1,4037,43850436,399864,783003,1161,1697,56760750,715080,57475830,0,417,0,255,0,98
test_OLMo_7B_Instruct_bs_1_seq_2048_token_generation_model_MODULE_beef5582ff219b3813d0_42bb88f2_my,greedy,0,61034868882,78,13,102,181,3.9,1,4037,44257453,406552,794661,1161,1697,58512000,2646604,61158604,0,514,0,319,0,99
test_unet_B4_MODULE_6097415191351560119_plus_080aa230_my,greedy,0,63690782932,25,1,196,223,2.3,1,345,56014139,87231,354290,74,106,23669714,747978,24417692,0,59,0,0,0,41
test_Qwen3_VL_8B_Thinking_bs_1_seq_2048_context_encoding_model_MODULE_33a7eaaa0538dcaccb60_2b85aa20_my,greedy,0,66596785484,6,0,9,16,0.6,3,82,4458528,49497,109450,64,63,6833286,3667194,10500480,0,27,0,9,0,8
test_Qwen3_VL_8B_Thinking_bs_1_seq_2048_context_encoding_model_MODULE_ff86a8615ba31d78647d_bb9a2058_my,greedy,0,66973042759,6,0,9,16,0.6,3,86,4476858,49511,109199,71,70,6867696,3676296,10543992,0,27,0,9,0,8
test_Qwen3_VL_8B_Thinking_bs_1_seq_2048_context_encoding_model_MODULE_a6d946b33e689d84011e_6cc7d671_my,greedy,0,67028551197,6,0,9,16,0.6,3,86,4476858,49511,109199,71,70,6867696,3676296,10543992,0,27,0,9,0,8
test_unet_B4_MODULE_3208590055032863725_plus_080aa230_my,greedy,0,72813674199,38,1,253,292,3.9,1,359,57091400,98107,429490,78,111,24350573,806563,25157136,0,60,0,1,0,33
test_idefics_9b_instruct_bs_1_seq_2048_context_encoding_model_MODULE_cc0cd249b9101619f34d_9210cfef_my,greedy,0,73187907961,6,0,6,13,0.5,3,112,5650839,46419,94418,72,95,8278082,3078208,11356290,0,28,0,7,0,7
test_idefics_9b_instruct_bs_1_seq_2048_context_encoding_model_MODULE_59dc53ea1b53de8462b6_c009eadd_my,greedy,0,73730421988,2,0,5,8,0.4,3,87,5196474,37944,75821,45,59,7461594,1562853,9024447,0,24,0,6,0,6
test_idefics_9b_instruct_bs_1_seq_2048_token_generation_model_MODULE_721f1af79f1d172c0ddf_2b9a6ba3_my,greedy,0,76906236237,137,31,126,266,4.6,1,5835,52159198,474051,927305,1254,1924,1370582482,798944,1371381426,0,192,0,160,0,33
test_OLMo_7B_Instruct_bs_1_seq_2048_context_encoding_model_MODULE_81661c3dd75989b7577b_183437e3_my,greedy,0,79190073430,34,0,4,39,0.4,3,83,5526218,29319,66137,66,77,8841499,2279240,11120739,4196809,24,0,9,0,3
test_idefics_9b_instruct_bs_1_seq_2048_context_encoding_model_MODULE_9bbed24f7d8a64de06e1_f30202c4_my,greedy,0,81198061240,3,0,3,7,0.3,3,97,5227727,21444,48879,61,58,8637121,1224481,9861602,0,27,0,5,0,7
test_Llama_4_Scout_17B_16E_Instruct_bs_1_seq_2048_context_encoding_model_MODULE_7f6aedd57eb201c2c0a7_b6089732_my,greedy,0,82283849987,9,0,91,101,4.4,4,254,46971141,343199,806510,61,132,67114793,12723102,79837895,0,35,0,10,0,12
test_OLMoE_1B_7B_0924_bs_1_seq_2048_context_encoding_model_MODULE_e6c5f210918aa730683c_fe085657_my,greedy,0,96046945748,11,0,25,38,3.6,3,247,1745737,10484,252858,97,105,3904711,109015,4013726,0,34,0,14,0,8
test_OLMo_7B_Instruct_bs_1_seq_2048_context_encoding_model_MODULE_7f84e7ed9e073cfae95f_ddf3adf2_my,greedy,0,96128665591,33,0,5,39,0.4,3,83,4251709,31327,72220,66,77,6475258,2674786,9150044,5001040,23,0,9,0,3
test_Ministral_4b_instruct_bs_1_seq_2048_context_encoding_model_MODULE_de912ef248e892c051fa_233461aa_my,greedy,0,115109231032,4,0,4,10,0.5,3,78,5754688,64981,74102,69,68,10416079,486579,10902658,0,26,0,2,0,8
test_OLMo_7B_Instruct_bs_1_seq_2048_context_encoding_model_MODULE_fea803c553c004eb84bb_4fa62bac_my,greedy,0,127394727635,35,0,8,44,0.5,3,83,7067338,38779,88512,66,77,12206029,3057228,15263257,5847237,24,0,9,0,3
test_FlexOlmo_7x7B_1T_bs_1_seq_2048_context_encoding_model_MODULE_e010cbb1c988625325e1_b339bd96_my,greedy,0,139976510905,4,0,53,59,3.2,16,50,5006632,38056,335773,78,63,7648766,240784,7889550,0,36,0,3,0,20
test_vision_perceiver_conv_bs_4_MODULE_16271670994419107146_plus_e30acd3a_my,greedy,0,171292842254,183,17,87,274,3.1,5,6102,52700621,229584,492744,1664,1567,97395030,31579927,128974957,0,1386,0,49,0,573
test_granite_3_1_3b_a800m_instruct_bs_1_seq_2048_context_encoding_model_MODULE_2eaa04e83fcb362de79b_982c158d_my,greedy,0,188262542824,8,0,7,16,0.6,3,251,3017300,16403,88097,97,105,29195114,1643194,30838308,0,56,0,14,0,11
test_whisper_large_v3_turbo_encoder_bs_1_seq_1500_my,greedy,0,204871197835,5,0,6,12,0.6,3,93,5901765,27262,118816,33,56,12184383,1774856,13959239,0,56,0,12,0,19
test_resnet50_bs_16_MODULE_10731567180434628654_plus_080aa230_my,greedy,0,234576442351,204,12,450,656,15.7,1,4624,68648955,138090,560820,1679,1558,75077822,6761389,81839211,0,899,0,6,0,184
test_resnet50_bs_16_MODULE_4034258629611396623_plus_080aa230_my,greedy,0,234904165279,216,14,456,674,15.0,1,5136,69254015,138464,564089,1679,1558,76883750,6922755,83806505,0,977,0,6,0,230
test_language_perceiver_B20_MODULE_6541578535163032455_plus_e30acd3a_my,greedy,0,346488721159,358,39,141,503,5.7,5,10056,123356242,455748,981486,2498,1792,191117974,16507185,207625159,0,2000,0,48,0,45
test_OLMoE_1B_7B_0924_bs_1_seq_2048_context_encoding_model_MODULE_23a1550d3ff702f3aab3_747e44c5_my,greedy,NCC_EVRF028,,,,,0,,,,,,,,,,,,,,,,,
test_Olmo_3_7B_Think_bs_1_seq_2048_context_encoding_model_MODULE_e6a2aaf6c5144b7c4cb8_a841cf10_my,greedy,infer_failed,,7,0,21,30,1.4,3,202,14950960,107193,244925,94,104,28503758,9101308,37605066,0,44,0,6,0,12
test_Olmo_3_7B_Think_bs_1_seq_2048_token_generation_model_MODULE_0632c034a866bb24388b_aa8e011b_my,greedy,NCC_EVRF028,,,,,0,,,,,,,,,,,,,,,,,
test_ctc_aed_b4_seq5000_my_fix,greedy,infer_failed,,437,2,1040,1481,41.3,6,1002,132571017,413327,2531690,1951,3508,400000000134353281,15338286,400000000149691567,0,1831,0,803,1,263
test_microsoft_deberta_v3_large_type_auto_bs_2_seq_512_MODULE_2884813566616500283_plus_e30acd3a_my,greedy,NCC_EXTP004,,15,,,0,,3,195,152767764,883445,,60,97,491519006,1950182,493469188,0,71,0,106,0,82
test_unet_B4_MODULE_3949044161141089953_plus_080aa230_my,greedy,NCC_EBVF030,,142,8,,144,1.9,1,2685,89867425,795011,,652,708,73807477,18641504,92448981,0,372,0,41,0,113
test_unet_B4_MODULE_7534641466398025551_plus_080aa230_my,greedy,NCC_EBVF030,,131,5,,133,1.9,1,2367,88387053,794271,,741,861,70601407,18579512,89180919,0,342,0,41,0,87
